Year,January,February,March,April,May,June,July,August,September,October,November,December
2004,8,0,2,0,398.4,9.9,4.1,101,351,561.5,324.9,82.9
2005,0.9,0.3,0.7,184.3,28.8,4.3,51.9,63.1,166,131.4,569.2,105.4
2006,21.9,0,31.9,54.9,49.7,24.7,5.6,58,138.9,300.7,317,44.2
2007,0.1,5.9,0,15.3,42,45.9,49.4,294,122.7,355.8,67.1,416.9
2008,15.2,30.4,187.8,4,21.7,35.2,37.7,114,31.6,246.4,742.8,143.7
2009,31.9,0,92.3,63.4,47,5,10.7,137,72.1,65.8,507.9,381.6
2010,39.7,0,0,2.5,103.5,103.2,65.2,183.5,180.6,186.5,540.2,392.1
,,,,,,,,,,,,
2012,0.4,0.1,3.5,5,25.8,17.2,19.9,97.7,122.2,531.8,97.5,32.5
2013,14.3,24.8,75.2,7.8,49.3,37.7,20.5,162.4,138,68.3,169.4,150.7
2014,6.3,13.2,0,0.3,180.7,2,119.8,94.8,30.7,333.2,251.8,167.6
2016,0,0,0,0,187.4,33.5,38.9,78.9,56.7,68.6,89.5,91.9
