,January,February,March,April,May,June,July,August,September,October,November,December
2001,28,28,28,28,28,28,28,28,28,28,28,28
2002,28,28,28,28,28,28,28,28,28,28,28,28
2003,28,28,28,28,28,28,28,28,28,28,28,28
2004,28,28,28,28,28,28,28,28,28,28,28,28
2005,28,28,28,28,28,28,28,28,28,28,28,28
2006,28,28,28,28,28,28,28,28,28,28,28,28
2007,28,28,28,28,28,28,28,28,28,28,28,28
2008,28,28,28,28,28,28,28,28,28,28,28,28
2009,28,28,28,28,28,28,28,28,27,29,27,24
2010,24,26,29,32,32,31,29,29,29,29,27,25
2011,24,25,25,30,32,32,30,29,29,28,26,25
2012,25,26,29,31,33,33,31,30,29,28,27,26
2013,26,27,28,31,32,31,29,29,29,28,27,25
2014,26,26,28,31,32,32,31,30,29,28,27,26
2015,25,26,29,30,31,31,31,30,30,28,26,26
2016,26,28,29,32,32,31,30,31,29,29,27,25
